timestep,reward
172798,376.0
173136,338.0
173556,420.0
173848,292.0
174125,277.0
174588,463.0
174856,268.0
175218,362.0
175718,500.0
176207,489.0
176697,490.0
176968,271.0
177468,500.0
177655,187.0
177889,234.0
177968,79.0
178168,200.0
178332,164.0
178832,500.0
179249,417.0
179409,160.0
179829,420.0
180041,212.0
180282,241.0
180539,257.0
181039,500.0
181328,289.0
181685,357.0
181808,123.0
182190,382.0
182453,263.0
182953,500.0
183238,285.0
183609,371.0
184109,500.0
184271,162.0
184703,432.0
185203,500.0
185703,500.0
185809,106.0
186125,316.0
186469,344.0
186893,424.0
187146,253.0
187285,139.0
187548,263.0
188048,500.0
188469,421.0
188966,497.0
189299,333.0
189565,266.0
189850,285.0
190266,416.0
190590,324.0
190889,299.0
191115,226.0
191611,496.0
192111,500.0
192611,500.0
192846,235.0
193251,405.0
193480,229.0
193665,185.0
193850,185.0
194350,500.0
194850,500.0
195062,212.0
195416,354.0
195895,479.0
196395,500.0
196769,374.0
197150,381.0
197537,387.0
198037,500.0
198454,417.0
198954,500.0
199388,434.0
199888,500.0
200360,472.0
